show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
s189,TV Show,Title 189,Emily Davis,"Actor G, Actor H",United States,28-9-2017,2003,G,7 Seasons,Dramas,A thrilling story of love and betrayal.
s190,Movie,Title 190,Laura Wilson,"Actor G, Actor H",South Korea,5-9-2021,2021,TV-MA,152 min,Action & Adventure,A thrilling story of love and betrayal.
s191,TV Show,Title 191,Michael Johnson,"Actor C, Actor D",India,4-7-2022,2007,TV-MA,8 Seasons,Children & Family Movies,A thrilling story of love and betrayal.
s192,TV Show,Title 192,Robert Brown,"Actor G, Actor H",India,4-9-2017,2015,TV-MA,2 Seasons,Romantic Movies,A documentary about climate change.
s193,TV Show,Title 193,Emily Davis,"Actor I, Actor J",France,3-10-2022,2006,TV-14,2 Seasons,Action & Adventure,A documentary about climate change.
s194,Movie,Title 194,John Smith,"Actor E, Actor F",Spain,21-2-2018,2001,TV-14,177 min,Children & Family Movies,A comedy about unexpected roommates.
s195,Movie,Title 195,John Smith,"Actor G, Actor H",Brazil,19-10-2019,2021,PG-13,172 min,Horror,An inspiring journey of self-discovery.
s196,TV Show,Title 196,Laura Wilson,"Actor E, Actor F",France,23-9-2023,2017,PG-13,10 Seasons,Comedies,An inspiring journey of self-discovery.
s197,TV Show,Title 197,Jane Doe,"Actor C, Actor D",Brazil,19-5-2015,2015,TV-14,10 Seasons,Horror,A horror film set in an abandoned hospital.
s198,Movie,Title 198,Michael Johnson,"Actor E, Actor F",Mexico,19-7-2019,2016,PG-13,140 min,Romantic Movies,An inspiring journey of self-discovery.
s199,TV Show,Title 199,Robert Brown,"Actor C, Actor D",United Kingdom,20-8-2015,2013,R,7 Seasons,Comedies,A documentary about climate change.
s200,TV Show,Title 200,John Smith,"Actor C, Actor D",Japan,14-4-2023,2023,PG-13,8 Seasons,Horror,A comedy about unexpected roommates.
